fund_symbol,fund_extended_name,fund_family,inception_date,category,investment_strategy,investment_type,size_type,currency,fund_net_annual_expense_ratio,category_net_annual_expense_ratio,asset_stocks,asset_bonds,price_earnings_ratio,price_book_ratio,price_sales_ratio,price_cashflow_ratio,sector_basic_materials,sector_consumer_cyclical,sector_financial_services,sector_real_estate,sector_consumer_defensive,sector_healthcare,sector_utilities,sector_communication_services,sector_energy,sector_industrials,sector_technology,credit_us_government,credit_aaa,credit_aa,credit_a,credit_bbb,credit_bb,credit_b,credit_below_b,credit_other_ratings,net_asset_value,fund_yield,top10_holdings,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2019,category_return_2019,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,years_up,years_down,fund_alpha_3years,category_alpha_3years,fund_alpha_5years,category_alpha_5years,fund_alpha_10years,category_alpha_10years,fund_beta_3years,category_beta_3years,fund_beta_5years,category_beta_5years,fund_beta_10years,category_beta_10years,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
1305,Daiwa ETF TOPIX,Daiwa Asset Management Co Ltd,2001/7/11,,"The investment seeks to track the price and yield performance, before fees and expenses, of the Tokyo Price Index (TOPIX).The fund invests in all stocks that comprise the TOPIX. The index is a capitalization weighted index of all companies listed on the First Section of the Tokyo Stock Exchange. The index is supplemented by the subindices of the 33 industry sectors.",Blend,Large,USD,0,,100,0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.44,7.05,1.96,4.95,1.7,20.29,14.61,,,,,,,,,,4.01E+12,1.84,"Toyota Motor Corp: 3.21, Mitsubishi UFJ Financial Group Inc: 1.82, Sony Corp: 1.69, SoftBank Group Corp: 1.65, Nippon Telegraph & Telephone Corp: 1.33, Keyence Corp: 1.28, Sumitomo Mitsui Financial Group Inc: 1.23, Honda Motor Co Ltd: 1.14, Mizuho Financial Group Inc: 1.07, KDDI Corp: 0.98",-6.62,,1.22,,-3.11,,-5.17,,3.83,,7.86,,9.25,,,,,,22.06,,0.17,,11.9,,10.12,,54.1,,20.69,,-17.07,,0.84,,12,4,0.29,,0.39,,0.35,,1,,0.98,,0.99,,0.4,,0.72,,0.86,,99.72,,99.7,,99.68,,14.38,,14.75,,16.89,,0.34,,0.59,,0.6,,3.92,,8.01,,9.29,
1306,Nomura TOPIX ETF,Nomura Asset Management Co Ltd,2001/7/11,,"The investment seeks to track the price and yield performance, before fees and expenses of the TOPIX Index.The fund invests in the component stocks of the TOPIX and stocks which are scheduled to become such component stocks, and intends to construct and maintain the portfolio, which is similar in composition to the index.",Blend,Large,USD,0.05,,99.99,0,12.92,1.18,0.81,5.41,7.81,17.26,11.73,3.19,9.43,7.06,1.96,4.95,1.7,20.29,14.62,,,,,,,,,,8.43E+12,1.77,"Toyota Motor Corp: 3.14, TOPIX Futures 1812: 2.33, Mitsubishi UFJ Financial Group Inc: 1.77, Sony Corp: 1.65, SoftBank Group Corp: 1.62, Nippon Telegraph & Telephone Corp: 1.30, Keyence Corp: 1.25, Sumitomo Mitsui Financial Group Inc: 1.20, Honda Motor Co Ltd: 1.12, Mizuho Financial Group Inc: 1.04",-6.43,,1.3,,-3.1,,-5.21,,3.88,,7.87,,9.27,,,,,,22.06,,0.21,,11.91,,10.13,,54.12,,20.64,,-17.04,,0.93,,12,4,0.31,,0.4,,0.38,,1,,0.98,,0.98,,0.41,,0.72,,0.86,,99.72,,99.69,,99.68,,14.38,,14.75,,16.83,,0.34,,0.59,,0.61,,3.94,,8.03,,9.33,
1308,Nikko Exchange Traded Index TOPIX,Nikko Asset Management Co Ltd,2001/12/20,,"The investment seeks to track the price and yield performance, before fees and expenses, of the Tokyo Stock Price Index (TOPIX).The index is a capitalization weighted index of all companies listed on the First Section of the Tokyo Stock Exchange.",Blend,Large,USD,0,,99.08,0,12.92,1.18,0.81,5.44,7.74,17.33,11.57,3.22,9.53,7.07,1.99,4.98,1.7,20.23,14.62,,,,,,,,,,3.73E+12,1.84,"Toyota Motor Corp: 3.30, Mitsubishi UFJ Financial Group Inc: 1.80, Sony Corp: 1.70, SoftBank Group Corp: 1.69, Nippon Telegraph & Telephone Corp: 1.30, Keyence Corp: 1.28, Sumitomo Mitsui Financial Group Inc: 1.21, Honda Motor Co Ltd: 1.13, Mizuho Financial Group Inc: 1.06, KDDI Corp: 0.98",-6.47,,1.31,,-3.08,,-5.09,,3.85,,7.87,,9.22,,,,,,22.09,,0.18,,11.92,,10.13,,54.19,,20.7,,-17.06,,0.87,,12,4,0.3,,0.41,,0.36,,1,,0.98,,0.99,,0.4,,0.72,,0.86,,99.72,,99.69,,99.68,,14.38,,14.75,,16.9,,0.34,,0.59,,0.6,,3.93,,8.03,,9.31,
1310,Daiwa ETF TOPIX Core 30,Daiwa Asset Management Co Ltd,2002/3/28,,"The investment seeks to track the price and yield performance, before fees and expenses, of the TOPIX Core 30 Index.The fund invests in the component stocks of the index and stocks which are scheduled to become such component stocks. The index consists of the 30 most liquid stocks with the largest market capitalization that are members of the TOPIX index.",Blend,Large,USD,0,,100,0,11.34,1.12,1.07,4.06,2.41,14.25,16.26,1.74,7.93,4.55,0,15.52,2,16.26,19.06,,,,,,,,,,1920000000,2.57,"Toyota Motor Corp: 10.51, Mitsubishi UFJ Financial Group Inc: 5.95, Sony Corp: 5.53, SoftBank Group Corp: 5.39, Nippon Telegraph & Telephone Corp: 4.36, Keyence Corp: 4.24, Sumitomo Mitsui Financial Group Inc: 4.03, Honda Motor Co Ltd: 3.74, Mizuho Financial Group Inc: 3.50, KDDI Corp: 3.20",-6.69,,0.27,,-3.79,,-6.8,,0.95,,4.44,,6.7,,,,,,14.83,,-2.51,,9.12,,4.12,,54.44,,27.5,,-23.37,,-2.15,,10,5,-2.58,,-3.41,,-2.56,,1.04,,1.06,,1.06,,0.18,,0.46,,0.68,,96.51,,97.19,,96.63,,15.16,,16.21,,18.39,,0.14,,0.34,,0.44,,1,,4.08,,6.18,
1311,Nomura TOPIX Core 30 ETF,Nomura Asset Management Co Ltd,2002/4/2,,"The investment seeks to track the price and yield performance, before fees and expenses, of the TOPIX Core 30 index. The fund invests in the component stocks of the TOPIX Core 30 and stocks which are scheduled to become such component stocks, and intends to construct and maintain the portfolio, which is similar in composition to the index. The index consists of the 30 most liquid stocks with the largest market capitalization that are members of the TOPIX index.",Blend,Large,USD,0,,99.9,0,11.34,1.12,1.07,4.07,2.44,14.26,16.25,1.74,7.91,4.56,0,15.52,2,16.32,18.99,,,,,,,,,,3260000000,1.82,"Toyota Motor Corp: 10.17, Mitsubishi UFJ Financial Group Inc: 5.75, Sony Corp: 5.33, SoftBank Group Corp: 5.22, Nippon Telegraph & Telephone Corp: 4.22, Keyence Corp: 3.96, Sumitomo Mitsui Financial Group Inc: 3.90, Honda Motor Co Ltd: 3.62, Mizuho Financial Group Inc: 3.38, TOPIX Core30 Futures 1812: 3.21",-6.94,,0.13,,-3.48,,-6.94,,0.99,,4.45,,6.7,,,,,,14.84,,-2.49,,9.09,,4.17,,54.8,,27.6,,-23.27,,-2,,10,5,-2.56,,-3.39,,-2.5,,1.04,,1.06,,1.06,,0.18,,0.47,,0.68,,96.52,,97.2,,96.64,,15.16,,16.22,,18.38,,0.14,,0.34,,0.44,,1.02,,4.1,,6.24,
1312,Russell/Nomura Small Cp Core IdxLnkd ETF,Nomura Asset Management Co Ltd,2007/10/22,,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the Russellu002FNomura Small Cap Core index.The fund normally invests in equity from the small cap index, excluding the microcap index, and represents the top two thirds of the Russellu002FNomura Small Cap index.",Blend,Medium,USD,0,,99.33,0,14.48,1.08,0.66,5.68,11.55,22.05,11.79,1.72,9.54,6.49,1.43,0.22,0.29,21.47,13.44,,,,,,,,,,2300000000,1.13,"Taiyo Nippon Sanso Corp: 0.52, House Foods Group Inc: 0.51, Yamazaki Baking Co Ltd: 0.50, Zensho Holdings Co Ltd: 0.50, DeNA Co Ltd: 0.49, GMO Payment Gateway Inc: 0.49, Furukawa Electric Co Ltd: 0.45, SanBio Co Ltd: 0.45, Seino Holdings Co Ltd: 0.45, LINE Corp: 0.44",-6.36,,5.71,,-3.21,,-3.04,,6.27,,10.55,,11.52,,,,,,26.21,,4.11,,16.86,,11.8,,51.74,,16.39,,-7.48,,3.2,,8,2,1.09,,0.8,,0.84,,0.99,,0.95,,0.97,,0.57,,0.89,,1.01,,98.09,,96.98,,97.38,,14.16,,13.34,,15.8,,0.48,,0.8,,0.76,,6.07,,10.8,,11.71,
1313,KODEX 200,Samsung Asset Management Co Ltd,2002/10/11,,,Value,Large,USD,0.16,,99.06,0,7.04,0.97,0.66,5.15,7.83,9.27,11.88,0,6.35,6.11,1.31,3.04,2.35,9.38,42.47,0,100,0,0,0,0,0,0,0,6.45E+12,2.23,"Samsung Electronics Co Ltd: 25.48, SK Hynix Inc: 4.73, Celltrion Inc: 3.31, POSCO: 2.34, KB Financial Group Inc: 2.22, Shinhan Financial Group Co Ltd: 2.12, Hyundai Motor Co: 2.11, NAVER Corp: 2.09, LG Chem Ltd: 1.94, Hyundai Mobis Co Ltd: 1.75",-15.52,,2.92,,-9.07,,-14.89,,5.53,,1.76,,8.18,,,,,,27.06,,10.07,,0.22,,-6.6,,0.86,,11.41,,-10.44,,23.46,,12,3,1.93,,1.61,,1.39,,1,,0.99,,1,,0.51,,0.2,,0.76,,98.47,,98.54,,99.27,,11.98,,11.07,,15.4,,0.39,,0.05,,0.44,,4.04,,-0.05,,5.82,
1319,Nomura Nikkei 300 ETF,Nomura Asset Management Co Ltd,1995/4/12,,"The investment seeks to track the price and performance yield, before fees and expenses, of the Nikkei 300 index.The fund normally invests in the securities that comprise the index. The index is a market value-weighted index of the 300 major issues selected to represent listed stocks on the first section of the Tokyo Stock Exchange.",Blend,Large,USD,0,,98.71,0,12.86,1.23,0.89,5.55,7.49,18.64,10.29,3.16,8.89,7.21,1.82,7.79,1.84,18.12,14.76,,,,,,,,,,10050000000,1.88,"Toyota Motor Corp: 5.15, SoftBank Group Corp: 2.44, NTT DOCOMO Inc: 2.31, Mitsubishi UFJ Financial Group Inc: 2.00, Sony Corp: 1.75, Keyence Corp: 1.72, KDDI Corp: 1.56, Fast Retailing Co Ltd: 1.47, Nippon Telegraph & Telephone Corp: 1.38, Sumitomo Mitsui Financial Group Inc: 1.36",-7.05,,0.63,,-4.45,,-3.49,,6,,9.94,,8.82,,,,,,19.41,,-0.19,,10.91,,8.68,,53.86,,20.41,,-17.97,,-0.15,,11,11,0.05,,-0.27,,-0.23,,0.98,,0.98,,0.98,,0.38,,0.67,,0.81,,99.73,,99.78,,99.83,,14.15,,14.8,,16.84,,0.32,,0.54,,0.57,,3.68,,7.29,,8.66,
1320,Daiwa ETF Nikkei 225,Daiwa Asset Management Co Ltd,2001/7/9,,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the Nikkei 225 index.The fund normally invests in Japans 225 top-rated companies listed in the First Section of the Tokyo Stock Exchange.",Growth,Large,USD,0,,100,0,15.52,1.66,1.07,9.04,10,23.38,2.81,2.18,8.33,11.29,0.23,7.65,0.9,17.59,15.63,,,,,,,,,,2.65E+12,1.69,Eisai Co Ltd: 1.73,-0.11,,2.14,,-1.46,,0.1,,6.02,,9.17,,12.01,,,,,,21.07,,2.19,,10.8,,8.73,,59.02,,25.39,,-15.76,,-1.55,,11,5,2.29,,1.52,,2.63,,1.04,,1,,1.02,,0.59,,0.83,,1.08,,95.5,,95.1,,93.95,,15.3,,15.44,,18.08,,0.46,,0.64,,0.71,,5.83,,9.13,,11.58,
1321,Nomura Nikkei 225 ETF,Nomura Asset Management Co Ltd,2001/7/9,,"The investment seeks to replicate as closely as possible, before fees and expenses, the performance of the Nikkei 225 Index.The fund normally invests in Japans 225 top-rated companies listed in the First Section of the Tokyo Stock Exchange.",Growth,Large,USD,0,,99.99,0,15.85,1.69,1.09,9.22,9.88,23.78,2.7,2.25,8.48,11.76,0.23,7.58,0.78,17.19,15.36,,,,,,,,,,5.97E+12,1.52,"Fast Retailing Co Ltd: 9.65, SoftBank Group Corp: 4.67, Fanuc Corp: 3.17, FamilyMart UNY Holdings Co Ltd: 2.63, KDDI Corp: 2.61, Tokyo Electron Ltd: 2.59, Terumo Corp: 2.19, Daikin Industries Ltd: 2.06, Kyocera Corp: 2.00, Eisai Co Ltd: 1.70",-0.25,,2.09,,-1.46,,0.01,,6,,9.12,,11.97,,,,,,21.02,,2.18,,10.73,,8.71,,58.97,,25.35,,-15.78,,-1.38,,11,5,2.26,,1.48,,2.63,,1.04,,1,,1.02,,0.58,,0.83,,1.08,,95.51,,95.09,,93.98,,15.3,,15.44,,18.02,,0.46,,0.64,,0.71,,5.8,,9.1,,11.59,
